"X mean mandatory standard reaction
E mean the defect is configurable and the platform will be configured as Enabled.
D mean the defect is configurable and the platform will be configured as Disabled.
Blank mean no reason to have this reaction","Reversibility
",descr,FIM_DefectBoostSwitchOFF1,FIM_DefectBoostSwitchOFF2,FIM_LED1SwitchOFF,FIM_LED2SwitchOFF,FIM_LED3SwitchOFF,FIM_LED4SwitchOFF,FIM_LED5SwitchOFF,FIM_LED6SwitchOFF,FIM_LED7SwitchOFF,Set LB failure,Set TI failure ,Set AHS failure ,Set AHS Temporary failure ,Set LAMP failure ,Set LAMP Temporary failure ,Set_CL_failure,Set DHL failure,Set DHL Temporary failure ,Force LB activation,Force PL activation,Force FSML activation,Force DRL deactivation,Force TI deactivation,Force HB deactivation,Force AHS deactivation,Force CL deactivation,Force SRP deactivation,Force PL deactivation,Force FSML deactivation,Force AddHB deactivation,Force Add1 deactivation,Force Add2 deactivation,Force Add3 deactivation,Force SHL deactivation,Force DHL deactivation,FIM_Switch1SwitchOFF,FIM_Switch2SwitchOFF,FIM_Switch3SwitchOFF,FIM_Switch4SwitchOFF,FIM_Switch5SwitchOFF,FIM_ACTION_SMARTCH1CH2_STANDBY,FIM_ACTION_SMARTCH4_STANDBY,FIM_ACTION_SMARTCH3CH5_STANDBY,FIM_DualBuckChip1SetFSO(LHM),FIM_DualBuckChip2SetFSO(LHM),FIM_5VSATSwitchOFF1,FIM_5VSATSwitchOFF2,FIM_5VSATSwitchOFF3,FIM_ForceDerating_Func1,FIM_ForceDerating_Func2,FIM_ForceDerating_Func3,FIM_ForceDerating_Func4,FIM_ForceDerating_Func5,FIM_ForceDerating_Func6,FIM_ForceDerating_Func7,FIM_ForceDerating_Func8,FIM_ForceDerating_Func9,FIM_ForceDerating_Func10,FIM_ForceDerating_Func11,FIM_ForceDerating_Func12,FIM_ForceDerating_Func13,FIM_ForceDerating_Func14,FIM_ForceDerating_Func15,Set Boost_1_Defective,Set Boost_2_Defective,FIM_Hbridge1SwitchOFF,FIM_BoostSetFSO1,FIM_LED_SWITCH_OFF_FUNC1,FIM_LED_SWITCH_OFF_FUNC2,FIM_LED_SWITCH_OFF_FUNC3,FIM_LED_SWITCH_OFF_FUNC4,FIM_LED_SWITCH_OFF_FUNC5,FIM_LED_SWITCH_OFF_FUNC6,FIM_LED_SWITCH_OFF_FUNC7,FIM_LED_SWITCH_OFF_FUNC8,FIM_LED_SWITCH_OFF_FUNC9,FIM_LED_SWITCH_OFF_FUNC10,FIM_LED_SWITCH_OFF_FUNC11,FIM_LED_SWITCH_OFF_FUNC12,FIM_LED_SWITCH_OFF_FUNC13,FIM_LED_SWITCH_OFF_FUNC14,FIM_LED_SWITCH_OFF_FUNC15,FIM_StaticLvlStop,FIM_DhlStandby,FIM_GoToFailsafePosition,FIM_GoToFailsafePosition_Lin,FIM_StaticLvlStandby,FIM_PwmSignal_1_SwitchOff,FIM_PwmSignal_2_SwitchOff,FIM_DisableTi_Ani,FIM_reset_TI_counter,FIM_reset_SRP_counter,Set_Salr_to_000000b,FIM_GatewayStop,FIM_DriverStateFrameStop,FIM_NetworkFrameStop
DEF_BoolBinFailureOut_Func_13,1.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_14,1.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_15,1.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED load failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_LOAD_1_SHORTCIRCUIT,0.0,,,,E,E,D,D,D,D,D,E,D,E,D,D,D,D,D,D,,,,,,,E,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_LED_LOAD_2_SHORTCIRCUIT,0.0,,,,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_LED_LOAD_3_SHORTCIRCUIT,0.0,,,,D,D,E,D,D,D,D,D,E,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_LED_LOAD_4_SHORTCIRCUIT,0.0,,,,D,D,D,E,D,D,E,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_LED_LOAD_5_SHORTCIRCUIT,0.0,,,,D,D,D,D,E,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_LED_LOAD_6_SHORTCIRCUIT,0.0,,,,D,D,D,D,D,E,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_LED_LOAD_7_SHORTCIRCUIT,0.0,,,,D,D,D,E,D,D,E,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_LED_LOAD_1_OPENCIRCUIT,0.0,,,,E,E,D,D,D,D,D,E,D,E,D,D,D,D,D,D,,,,,,,E,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_LED_LOAD_2_OPENCIRCUIT,0.0,,,,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_LED_LOAD_3_OPENCIRCUIT,0.0,,,,D,D,E,D,D,D,D,D,E,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_LED_LOAD_4_OPENCIRCUIT,0.0,,,,D,D,D,E,D,D,E,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_LED_LOAD_5_OPENCIRCUIT,0.0,,,,D,D,D,D,E,D,D,D,D,E,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_LED_LOAD_6_OPENCIRCUIT,0.0,,,,D,D,D,D,D,E,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_LED_LOAD_7_OPENCIRCUIT,0.0,,,,D,D,D,E,D,D,E,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_Mlc_LED_OCSC_Out1,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,,,,,,
DEF_Mlc_LED_OCSC_Out2,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,,,,,,
DEF_Mlc_LED_OCSC_Out3,0.0,,,,D,D,E,D,D,D,D,D,E,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,E,,,,,,
DEF_Mlc_LED_OCSC_Out4,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,,,,,,
DEF_Mlc_LED_OCSC_Out5,0.0,,,,D,D,D,D,E,D,D,D,D,E,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,,,,,,
DEF_Mlc_LED_OCSC_Out6,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,,,,,,
DEF_Mlc_LED_OCSC_Out7,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,,,,,,
DEF_LED_OCSC_Func1,0.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func2,0.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func3,0.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func4,0.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func5,0.0,,,,,,,,,,,D,E,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func6,0.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func7,0.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func8,0.0,,,,,,,,,,,D,D,E,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func9,0.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func10,0.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func11,0.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func12,0.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func13,0.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func14,0.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func15,0.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,
Smart Defect function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH1_OVERCURRENT,0.0,,,,D,D,D,D,D,D,D,D,D,E,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,E,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH1_LOWCURRENT,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH2_OVERCURRENT,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,E,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH2_LOWCURRENT,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH3_OVERCURRENT,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,E,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH3_LOWCURRENT,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,E,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH4_OVERCURRENT,0.0,,,,D,D,D,D,D,D,D,D,D,E,D,D,D,D,E,D,,,,,,,D,,,,,,,,,,,D,D,D,E,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,D,E,D,D,,,,,,,,,
DEF_SMART_CH4_LOWCURRENT,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,D,E,D,D,,,,,,,,,
DEF_SMART_CH5_OVERCURRENT,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,E,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH5_LOWCURRENT,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,E,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH1CH2_OVERTEMP,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH3CH5_OVERTEMP,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Defects at input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_DRIVER_ELEC_UV_ECUB,1.0,,E,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,E,E,E,E,E,,,,,,D,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,D,D,D,E,E,D,,,,,,
DEF_DRIVER_ELEC_OV_ECUB,1.0,,E,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,E,E,E,E,E,,,,,,D,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,D,D,D,E,E,D,,,,,,
DEF_DRIVER_ELEC_RANGEREADYNESS,1.0,,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,D,,,,,,,,,,,E,E,E,E,E,,,,,,D,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,D,D,D,E,E,D,,,,,,
Misceanelleous defects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_FAN_DIAGFREQUENCY_WorkOUTOFRANGE1,0.0,,,,,,,,,,,E,D,E,D,D,D,D,D,D,,,,,,,E,D,,,,,,,,,,,,,,,,,,,,D,E,D,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_FAN_DIAGFREQUENCY_WorkOUTOFRANGE2,0.0,,,,,,,,,,,E,D,E,D,D,D,D,D,D,,,,,,,E,D,,,,,,,,,,,,,,,,,,,,D,D,E,E,E,D,D,D,D,D,E,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_FAN_DIAGFREQUENCY_NotWorkOUTOFRANGE1,0.0,,,,,,,,,,,E,D,E,D,D,D,D,D,D,,,,,,,E,D,,,,,,,,,,,,,,,,,,,,D,E,D,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_FAN_DIAGFREQUENCY_NotWorkOUTOFRANGE2,0.0,,,,,,,,,,,E,D,E,D,D,D,D,D,D,,,,,,,E,D,,,,,,,,,,,,,,,,,,,,D,D,E,E,E,D,D,D,D,D,E,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LDO_5VOPSAT_OUTOFRANGE1,0.0,,,,D,D,E,D,E,D,D,D,D,E,D,D,D,D,D,D,,,,,,,E,,,,,,,,,,,D,D,D,D,D,D,D,D,,,E,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LinFail,1.0,,,,,,,,,,,D,D,E,D,D,D,D,E,D,,,,,,,E,,,,,,,,,,D,,,,D,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,E,D,,,,,,,,,
DEF_DhlFail_Motor,0.0,,,,,,,,,,,D,D,E,D,D,D,D,E,D,,,,,,,E,,,,,,,,,,D,,,,D,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,E,D,D,,,,,,,,,
DEF_DhlFail_Sensor,0.0,,,,,,,,,,,D,D,E,D,D,D,D,E,D,,,,,,,E,,,,,,,,,,D,,,,D,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,E,D,D,,,,,,,,,
DEF_DhlFail_PowerSupply,1.0,,,,,,,,,,,D,D,E,D,D,D,D,E,D,,,,,,,E,,,,,,,,,,D,,,,D,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,E,D,D,D,,,,,,,,,
DEF_DaSignalShortToPwr,0.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,D,,,,,E,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,D,D,D,,,,,,,,,
DEF_DaSignalShortToGnd,0.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,D,,,,,E,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,D,D,D,,,,,,,,,
DEF_ShlPwrOutOfRange,1.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,D,,,,,D,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,D,D,E,,,,,,,,,
DEF_INFSStsInWork,0.0,,,,,,,,,,,D,D,D,D,D,D,E,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,E,D,,,,,,,
DEF_INFSStsNoWork,0.0,,,,,,,,,,,D,D,D,D,D,D,E,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,E,D,,,,,,,
DEF_CFAIL_MLC_1,0.0,,,,D,D,D,D,D,D,D,D,D,E,D,D,D,D,D,D,D,D,D,,,,E,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,,,,,,,
DEF_CFAIL_MLC_2,0.0,,,,D,D,E,D,D,D,D,D,E,D,D,D,D,D,D,D,D,D,D,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,,,,,,,
DEF_CFAIL_MLC_3,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,,,,,,,
DEF_CFAIL_MLC_4,0.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,,,,,,,
DEF_IDFAIL_MLC_1,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,,,,,,,
DEF_IDFAIL_MLC_2,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,,,,,,,
DEF_IDFAIL_MLC_3,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,,,,,,,
DEF_IDFAIL_MLC_4,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,,,,,,,
DEF_OTW1_MLC_1,1.0,,,,D,D,D,D,D,D,D,D,D,E,D,D,D,D,D,D,D,D,D,,,,E,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,,,,,,,
DEF_OTW1_MLC_2,1.0,,,,D,D,E,D,D,D,D,D,E,D,D,D,D,D,D,D,D,D,D,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,,,,,,,
