"X mean recommended standard reaction
E mean the defect is configurable and the platform will be configured as Enabled.
D mean the defect is configurable and the platform will be configured as Disabled.
Blank mean no reason to have this reaction but free for P1



A logical AND shall be performed between the following conditions","Reversibility
",descr,"always 
(E: Defect Enable; D: Defect Diasble)",DEF_Driver_ELEC_UV_RawNotDetected,DEF_Driver_ELEC_OV_RawNotDetected,DEF_Driver_ELEC_RANGEREADYNESS_absent,LED1_Activ,LED1_OpenCircuit not detected,LED2_Activ,LED2_OpenCircuit not detected,LED3_Activ,LED4_Activ,LED5_Activ,LED6_Activ,LED7_Activ,Boost1 is not  defective,Boost2 is not  defective,HSS1_Activ,HSS2_Activ,HSS3_Activ,HSS4_Activ,HSS5_Activ,Def_Driver_ELEC_RANGEREADYNESS is confirmed,Static Leveling_Activ,Static Leveling_Needed,Dynamic Leveling_Activ,Dynamic Leveling_Needed,AM_ActiveStatus_Bumper1=1,AM_ActiveStatus_Bumper1=0,Function1_Activ,Function2_Activ,Function3_Activ,Function4_Activ,Function5_Activ,Function6_Activ,Function7_Activ,Function8_Activ,Function9_Activ,Function10_Activ,Function11_Activ,Function12_Activ,Function13_Activ,Function14_Activ,Function15_Activ,FAN1_Activ,FAN2_Activ,FAN1_NotActiv,FAN1_NotActiv.1,Power Present,AniState_LB=0,AniState_HB=0,AniState_DRL1=0,AniState_PL1=0,AniState_TI=0,AniState_SRP=0,AniState_FSML=0,AniState_AHS=0,AniState_CL=0,AniState_DRL2=0,AniState_PL2=0,AniState_AddHB=0,AniState_Add1=0,AniState_Add2=0,AniState_Add3=0,DEF_LED_BOOST_COMM_SPIERROR not confirmed AND DEF_LED_BOOST_COMM_SILENTSPI not confirmed,PWMOutput1_Activ,PWMOutput2_Activ,AM_ActiveStatus_Bumper2=1,AM_ActiveStatus_Bumper2=0,DEF_LED_DualBUCK_1_COMM_SPE not confirmed AND DEF_LED_DualBUCK_1_COMM_SILENT not confirmed,DEF_LED_DualBUCK_2_COMM_SPE not confirmed  AND DEF_LED_DualBUCK_2_COMM_SILENT not confirmed,ECUB_voltage_Range_ 8V_ to_18V,DEF_LED_TEMPSENSOR_Func1=FALSE,DEF_LED_TEMPSENSOR_Func2=FALSE,DEF_LED_TEMPSENSOR_Func3=FALSE,DEF_LED_TEMPSENSOR_Func4=FALSE,DEF_LED_TEMPSENSOR_Func5=FALSE,DEF_LED_TEMPSENSOR_Func6=FALSE,DEF_LED_TEMPSENSOR_Func7=FALSE,DEF_LED_TEMPSENSOR_Func8=FALSE,DEF_LED_TEMPSENSOR_Func9=FALSE,DEF_LED_TEMPSENSOR_Func10=FALSE,DEF_LED_TEMPSENSOR_Func11=FALSE,DEF_LED_TEMPSENSOR_Func12=FALSE,DEF_LED_TEMPSENSOR_Func13=FALSE,DEF_LED_TEMPSENSOR_Func14=FALSE,DEF_LED_TEMPSENSOR_Func15=FALSE,IGR_PDC=ON ,Left TI_Stus =ON,Var_Vsi_B2u_ready=1,Right TI_Stus=ON,PAR_GatewayEnable = 1,PAR_TypeOfLocalCan is not equal to 0,Not in Bus Sleep Mode,5VSAT_Activ
DEF_LED_LOAD_2_OPENCIRCUIT,0.0,,E,E,E,E,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_LOAD_3_OPENCIRCUIT,0.0,,E,E,E,E,,,,,E,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,E,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_LOAD_4_OPENCIRCUIT,0.0,,E,E,E,E,,,,,,E,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,E,E,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_LOAD_5_OPENCIRCUIT,0.0,,E,E,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_LOAD_6_OPENCIRCUIT,0.0,,E,E,E,E,,,,,,,,E,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,E,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_LOAD_7_OPENCIRCUIT,0.0,,E,E,E,E,,,,,,,,,E,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,E,E,E,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_Mlc_LED_OCSC_Out1,0.0,,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_Mlc_LED_OCSC_Out2,0.0,,E,E,E,E,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_Mlc_LED_OCSC_Out3,0.0,,E,E,E,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_Mlc_LED_OCSC_Out4,0.0,,E,E,E,E,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_Mlc_LED_OCSC_Out5,0.0,,E,E,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_Mlc_LED_OCSC_Out6,0.0,,E,E,E,E,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_Mlc_LED_OCSC_Out7,0.0,,E,E,E,E,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func1,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func2,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func3,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func4,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func5,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func6,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func7,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func8,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func9,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func10,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func11,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func12,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func13,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func14,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_OCSC_Func15,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,E,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
Smart Defect function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH1_OVERCURRENT,0.0,,E,E,E,E,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH1_LOWCURRENT,0.0,,E,E,E,E,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH2_OVERCURRENT,0.0,,E,E,E,E,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,E,D,E,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH2_LOWCURRENT,0.0,,E,E,E,E,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH3_OVERCURRENT,0.0,,E,E,E,E,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,E,E,D,D,D,D,,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH3_LOWCURRENT,0.0,,E,E,E,E,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,E,E,D,D,D,D,,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH4_OVERCURRENT,0.0,,E,E,E,E,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH4_LOWCURRENT,0.0,,E,E,E,E,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH5_OVERCURRENT,0.0,,E,E,E,E,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH5_LOWCURRENT,0.0,,E,E,E,E,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH1CH2_OVERTEMP,0.0,,E,E,E,E,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH3CH5_OVERTEMP,0.0,,E,E,E,E,,,,,,,,,,,,,,D,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Defects at input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_DRIVER_ELEC_UV_ECUB,1.0,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_DRIVER_ELEC_OV_ECUB,1.0,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_DRIVER_ELEC_RANGEREADYNESS,1.0,,E,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misceanelleous defects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_FAN_DIAGFREQUENCY_WorkOUTOFRANGE1,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_FAN_DIAGFREQUENCY_WorkOUTOFRANGE2,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_FAN_DIAGFREQUENCY_NotWorkOUTOFRANGE1,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_FAN_DIAGFREQUENCY_NotWorkOUTOFRANGE2,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LDO_5VOPSAT_OUTOFRANGE1,0.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
DEF_LinFail,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,,,
DEF_DhlFail_Motor,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,E,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_DhlFail_Sensor,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,E,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_DhlFail_PowerSupply,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_DaSignalShortToPwr,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,E,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_DaSignalShortToGnd,0.0,,E,E,E,E,,,,,,,,,,,,,,,,,,E,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_ShlPwrOutOfRange,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_INFSStsInWork,0.0,,E,E,E,E,,,,,,,,,,,,D,D,D,D,D,,,,,,E,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_INFSStsNoWork,0.0,,E,E,E,E,,,,,,,,,,,,D,D,D,D,D,,,,,,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,,D,,,E,,,,,,,,,,,,,,,,,,,,,,,
DEF_CFAIL_MLC_1,0.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_CFAIL_MLC_2,0.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_CFAIL_MLC_3,0.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_CFAIL_MLC_4,0.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_IDFAIL_MLC_1,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_IDFAIL_MLC_2,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_IDFAIL_MLC_3,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_IDFAIL_MLC_4,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_OTW1_MLC_1,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_OTW1_MLC_2,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_OTW1_MLC_3,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_OTW1_MLC_4,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_OTW2_MLC_1,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_OTW2_MLC_2,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_OTW2_MLC_3,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_OTW2_MLC_4,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_POK_MLC_1,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_POK_MLC_2,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_POK_MLC_3,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_POK_MLC_4,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_LHM_MLC_1,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_LHM_MLC_2,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_LHM_MLC_3,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_LHM_MLC_4,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_TBOF_MLC_1,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_TBOF_MLC_2,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_TBOF_MLC_3,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_TBOF_MLC_4,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,E
DEF_FRAME_LOSS_ARY1S14_MLC_1,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,E,,E
DEF_FRAME_LOSS_ARY1S14_MLC_2,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,E,,E
DEF_FRAME_LOSS_ARY1S14_MLC_3,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,E,,E
DEF_FRAME_LOSS_ARY1S14_MLC_4,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,E,,E
DEF_FRAME_LOSS_PDC1G01,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,E,
DEF_FRAME_LOSS_ZN11S19_SHORT,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,E,
DEF_FRAME_LOSS_ZN11S19_LONG,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,E,
DEF_FRAME_LOSS_BDB1F01,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,E,
