No,REQ,req version,Detection Verified in spec,all table verified,Failure Familly, related,Failure type,Failure severity,SAFETY RELEVANT ?,Defect Name,Description,Monitored Data,DataFiltering / DataConsitency Mechanism,Defect running condition,Defect Frozen condition,Defect Stop condition,Defect Protection,PAR_EnumDefectDetectionType,Defect Detection Condition,No detect condition,PAR_[Defect_Name]_InitialState,Defect filtering CounterHi,Defect Filtering CounterLo,PAR_[Defect_Name]_Increment,PAR_[Defect_Name]_Decrement,[Defect_Name]_DefectEvaluationPeriod (ms),Typical comfirmation time (ms) information only,Typical time to deconfirm (ms) information only,Function inhibition management,PAR_[Defect_Name]_Reversibility,Defect reporting,Defect logging,PAR_[Defect_Name]_RetryAuthorization,PAR_[Defect_Name]_Reinitialize,Defect retry condition,PAR_[Defect_Name]_NbrOfEvalPeriodBtwRetries,Delay between retries,PAR_[Defect_Name]_NbrMaxRetry,PAR_[Defect_Name]_NbrOfEvalPeriodMaxInRetryPreparation,Max delay in retry preparation,PAR_[DefectName]_DiagnosticSupressionNumberOfPeriods,Defect retry action,Defect retry counter init,Defect retry succeed counter value,Defect retry failed counter value,Defect retry increment,Defect retry decrement,Defect supression time (ms),commentaire
24.0,LAMP_ECU_DEF_24,1.0,"F_CurrentRegulation
",YES,,,,Elec with function loss,Safety relevant,DEF_LED_LOAD_2_SHORTCIRCUIT,The LED connected to the LEDOUT X is partially or fully shortcircuited,"Buck SPI data
VLED of the corresponding LEDOUT X",HW,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
LED_LOAD_1 No Opencircuit
AND 
LEDOUT X is Activated
HBridge CHannel has no defect",Never,"Condition_GENERAL_UV_OV  OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
BOOST_Defect_Present
OR
LEDOUT X short Defect is disabled
OR
LEDOUT X is Deactivated""
OR Buck CHannel has defect",HW,2D,VLED2 <PAR_VoltLedOutScThreshold_OUT2 && VLED1 < PAR_VoltLedOutOcThreshold_OUT1 ,VLED2 >=PAR_VoltLedOutScThreshold_OUT2  or VLED1 > PAR_VoltLedOutOcThreshold_OUT1 ,DEF_LED_LOAD_2_SHORTCIRCUIT_absent,960.0,-1024.0,1.0,1024.0,10.0,9600.0,20.0,"Shut OFF LEDOUT X
Set Function failure flag or not depends on reglementation

a configurer en fonction de la reglementation

discussion a avoir sur les différentes reactions demandés par le client / reglementation",0,Functionnal failure flag of the function linked to this LEDOUT X,DTC of this channel function,1.0,1.0,"Condition_GENERAL_UV_OV  
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND
LEDOUT X short Defect is enabled
AND 
LEDOUT reactivation is requested",500,5000,3,500,5000,3,remove inhibition ,25,0,50,2,1,30,
25.0,LAMP_ECU_DEF_25,1.0,"F_CurrentRegulation
",YES,,,,Elec with function loss,Safety relevant,DEF_LED_LOAD_3_SHORTCIRCUIT,The LED connected to the LEDOUT X is partially or fully shortcircuited,"Buck SPI data
VLED of the corresponding LEDOUT X",SPI check,"Condition_GENERAL_UV_OV   AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND
LEDOUT X short Defect is enabled
AND 
LEDOUT X is Activated
AND 
Buck CHannel has no defect",Never,"Condition_GENERAL_UV_OV  OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
BOOST_Defect_Present
OR
LEDOUT X short Defect is disabled
OR
LEDOUT X is Deactivated""
OR Buck CHannel has defect",HW,1D,VLED < PAR_VoltLedOutScThreshold_OUTX,VLED >=PAR_VoltLedOutScThreshold_OUTX,DEF_LED_LOAD_3_SHORTCIRCUIT_absent,960.0,-1024.0,10.0,1024.0,10.0,960.0,20.0,"Shut OFF LEDOUT X
Set Function failure flag or not depends on reglementation

a configurer en fonction de la reglementation

discussion a avoir sur les différentes reactions demandés par le client / reglementation",0,Functionnal failure flag of the function linked to this LEDOUT X,DTC of this channel function,1.0,0.0,-,500,5000,255,500,5000,3,remove inhibition ,25,0,50,2,1,30,
26.0,LAMP_ECU_DEF_26,1.0,"F_CurrentRegulation
",YES,,,,Elec with function loss,Safety relevant,DEF_LED_LOAD_4_SHORTCIRCUIT,The LED connected to the LEDOUT X is partially or fully shortcircuited,"Buck SPI data
VLED of the corresponding LEDOUT X",SPI check,"Condition_GENERAL_UV_OV   AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND
LEDOUT X short Defect is enabled
AND 
LEDOUT X is Activated
AND 
Buck CHannel has no defect",Never,"Condition_GENERAL_UV_OV  OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
BOOST_Defect_Present
OR
LEDOUT X short Defect is disabled
OR
LEDOUT X is Deactivated""
OR Buck CHannel has defect",HW,1D,VLED <PAR_VoltLedOutScThreshold_OUTX,VLED >= PAR_VoltLedOutScThreshold_OUTX,DEF_LED_LOAD_4_SHORTCIRCUIT_absent,960.0,-1024.0,1.0,1024.0,10.0,9600.0,20.0,"Shut OFF LEDOUT X
Set Function failure flag or not depends on reglementation

a configurer en fonction de la reglementation

discussion a avoir sur les différentes reactions demandés par le client / reglementation",0,Functionnal failure flag of the function linked to this LEDOUT X,DTC of this channel function,1.0,1.0,-,500,5000,3,500,5000,3,remove inhibition ,25,0,50,2,1,30,
27.0,LAMP_ECU_DEF_27,1.0,"F_CurrentRegulation
",YES,,,,Elec with function loss,Safety relevant,DEF_LED_LOAD_5_SHORTCIRCUIT,The LED connected to the LEDOUT X is partially or fully shortcircuited,"Buck SPI data
VLED of the corresponding LEDOUT X",SPI check,"Condition_GENERAL_UV_OV   AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND
LEDOUT X short Defect is enabled
AND 
LEDOUT X is Activated
AND 
Buck CHannel has no defect",Never,"Condition_GENERAL_UV_OV  OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
BOOST_Defect_Present
OR
LEDOUT X short Defect is disabled
OR
LEDOUT X is Deactivated""
OR Buck CHannel has defect",HW,1D,"VLED <PAR_VoltLedOutScThreshold_OUTX
 Continue reading the voltage 5 times.","VLED >= PAR_VoltLedOutScThreshold_OUTX
 Continue reading the voltage 5 times.",DEF_LED_LOAD_5_SHORTCIRCUIT_absent,960.0,-1024.0,40.0,1024.0,40.0,960.0,80.0,"Shut OFF LEDOUT X
Set Function failure flag or not depends on reglementation

a configurer en fonction de la reglementation

discussion a avoir sur les différentes reactions demandés par le client / reglementation",0,Functionnal failure flag of the function linked to this LEDOUT X,DTC of this channel function,0.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
28.0,LAMP_ECU_DEF_28,1.0,"F_CurrentRegulation
",YES,,,,Elec with function loss,Safety relevant,DEF_LED_LOAD_6_SHORTCIRCUIT,The LED connected to the LEDOUT X is partially or fully shortcircuited,"Buck SPI data
VLED of the corresponding LEDOUT X",SPI check,"Condition_GENERAL_UV_OV   AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND
LEDOUT X short Defect is enabled
AND 
LEDOUT X is Activated
AND 
Buck CHannel has no defect",Never,"Condition_GENERAL_UV_OV  OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
BOOST_Defect_Present
OR
LEDOUT X short Defect is disabled
OR
LEDOUT X is Deactivated""
OR Buck CHannel has defect",HW,1D,VLED <PAR_VoltLedOutScThreshold_OUTX,VLED >=PAR_VoltLedOutScThreshold_OUTX,DEF_LED_LOAD_6_SHORTCIRCUIT_absent,960.0,-1024.0,10.0,1024.0,10.0,960.0,20.0,"Shut OFF LEDOUT X
Set Function failure flag or not depends on reglementation

a configurer en fonction de la reglementation

discussion a avoir sur les différentes reactions demandés par le client / reglementation",0,Functionnal failure flag of the function linked to this LEDOUT X,DTC of this channel function,1.0,0.0,-,500,5000,255,500,5000,3,remove inhibition ,25,0,50,2,1,30,
29.0,LAMP_ECU_DEF_29,1.0,"F_CurrentRegulation
",YES,,,,Elec with function loss,Safety relevant,DEF_LED_LOAD_7_SHORTCIRCUIT,The LED connected to the LEDOUT X is partially or fully shortcircuited,"Buck SPI data
VLED of the corresponding LEDOUT X",SPI check,"Condition_GENERAL_UV_OV   AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND
LEDOUT X short Defect is enabled
AND 
LEDOUT X is Activated
AND 
Buck CHannel has no defect",Never,"Condition_GENERAL_UV_OV  OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
BOOST_Defect_Present
OR
LEDOUT X short Defect is disabled
OR
LEDOUT X is Deactivated""
OR Buck CHannel has defect",HW,1D,VLED <PAR_VoltLedOutScThreshold_OUTX,VLED >=PAR_VoltLedOutScThreshold_OUTX,DEF_LED_LOAD_7_SHORTCIRCUIT_absent,960.0,-1024.0,1.0,1024.0,10.0,9600.0,20.0,"Shut OFF LEDOUT X
Set Function failure flag or not depends on reglementation

a configurer en fonction de la reglementation

discussion a avoir sur les différentes reactions demandés par le client / reglementation",0,Functionnal failure flag of the function linked to this LEDOUT X,DTC of this channel function,1.0,1.0,-,500,5000,3,500,5000,3,remove inhibition ,25,0,50,2,1,30,
30.0,LAMP_ECU_DEF_30,1.0,"F_CurrentRegulation
",YES,,,,Elec with function loss,Safety relevant,DEF_LED_LOAD_1_OPENCIRCUIT,The LED connected to the LEDOUT X is Open load,Buck SPI data VLED of the corresponding LEDOUT X,HW,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed

AND 
LEDOUT X is Activated
HBridge CHannel has no defect",Never,"Condition_GENERAL_UV_OV   OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
BOOST_Defect_Present
OR
LEDOUT X is Deactivated
OR buck channel has defect",HW,1D,VLED >PAR_VoltLedOutOcThreshold_OUTX,VLED <=PAR_VoltLedOutOcThreshold_OUTX,DEF_LED_LOAD_1_OPENCIRCUIT_absent,960.0,-1024.0,1.0,1024.0,10.0,9600.0,20.0,"Shut OFF LEDOUT X
Set Function failure flag or not depends on reglementation

a configurer en fonction de la reglementation",0,Functionnal failure flag of the function linked to this LEDOUT X,DTC of this channel function,1.0,1.0,"Condition_GENERAL_UV_OV  
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND
LEDOUT X short Defect is enabled
AND 
LEDOUT reactivation is requested",500,5000,3,500,5000,3,remove inhibition ,25,0,50,2,1,30,
31.0,LAMP_ECU_DEF_31,1.0,"F_CurrentRegulation
",YES,,,,Elec with function loss,Safety relevant,DEF_LED_LOAD_2_OPENCIRCUIT,The LED connected to the LEDOUT X is Open load,Buck SPI data VLED of the corresponding LEDOUT X,HW,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed

AND 
LEDOUT X is Activated
HBridge CHannel has no defect",Never,"Condition_GENERAL_UV_OV   OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
BOOST_Defect_Present
OR
LEDOUT X is Deactivated
OR buck channel has defect",HW,1D,VLED >PAR_VoltLedOutOcThreshold_OUTX,VLED <=PAR_VoltLedOutOcThreshold_OUTX,DEF_LED_LOAD_2_OPENCIRCUIT_absent,960.0,-1024.0,10.0,1024.0,10.0,960.0,20.0,"Shut OFF LEDOUT X
Set Function failure flag or not depends on reglementation

a configurer en fonction de la reglementation",0,Functionnal failure flag of the function linked to this LEDOUT X,DTC of this channel function,1.0,1.0,"Condition_GENERAL_UV_OV  
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND
LEDOUT X short Defect is enabled
AND 
LEDOUT reactivation is requested",500,5000,3,500,5000,3,remove inhibition ,25,0,50,2,1,30,
32.0,LAMP_ECU_DEF_32,1.0,"F_CurrentRegulation
",YES,,,,Elec with function loss,Safety relevant,DEF_LED_LOAD_3_OPENCIRCUIT,The LED connected to the LEDOUT X is Open load,Buck SPI data VLED of the corresponding LEDOUT X,SPI check,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND 
LEDOUT X is Activated
Buck CHannel has no defect",Never,"Condition_GENERAL_UV_OV   OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
BOOST_Defect_Present
OR
LEDOUT X is Deactivated
OR buck channel has defect",HW,1D,VLED >PAR_VoltLedOutOcThreshold_OUTX,VLED <=PAR_VoltLedOutOcThreshold_OUTX,DEF_LED_LOAD_3_OPENCIRCUIT_absent,960.0,-1024.0,10.0,1024.0,10.0,960.0,20.0,"Shut OFF LEDOUT X
Set Function failure flag or not depends on reglementation

a configurer en fonction de la reglementation",0,Functionnal failure flag of the function linked to this LEDOUT X,DTC of this channel function,1.0,0.0,-,500,5000,255,500,5000,3,remove inhibition ,25,0,50,2,1,30,
33.0,LAMP_ECU_DEF_33,1.0,"F_CurrentRegulation
",YES,,,,Elec with function loss,Safety relevant,DEF_LED_LOAD_4_OPENCIRCUIT,The LED connected to the LEDOUT X is Open load,Buck SPI data VLED of the corresponding LEDOUT X,SPI check,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND 
LEDOUT X is Activated
Buck CHannel has no defect",Never,"Condition_GENERAL_UV_OV   OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
BOOST_Defect_Present
OR
LEDOUT X is Deactivated
OR buck channel has defect",HW,1D,VLED >PAR_VoltLedOutOcThreshold_OUTX,VLED <=PAR_VoltLedOutOcThreshold_OUTX,DEF_LED_LOAD_4_OPENCIRCUIT_absent,960.0,-1024.0,1.0,1024.0,10.0,9600.0,20.0,"Shut OFF LEDOUT X
Set Function failure flag or not depends on reglementation

a configurer en fonction de la reglementation",0,Functionnal failure flag of the function linked to this LEDOUT X,DTC of this channel function,1.0,1.0,-,500,5000,3,500,5000,3,remove inhibition ,25,0,50,2,1,30,
34.0,LAMP_ECU_DEF_34,1.0,"F_CurrentRegulation
",YES,,,,Elec with function loss,Safety relevant,DEF_LED_LOAD_5_OPENCIRCUIT,The LED connected to the LEDOUT X is Open load,Buck SPI data VLED of the corresponding LEDOUT X,SPI check,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND 
LEDOUT X is Activated
Buck CHannel has no defect",Never,"Condition_GENERAL_UV_OV   OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
BOOST_Defect_Present
OR
LEDOUT X is Deactivated
OR buck channel has defect",HW,1D,"VLED >PAR_VoltLedOutOcThreshold_OUTX
 Continue reading the voltage 5 times.","VLED <=PAR_VoltLedOutOcThreshold_OUTX
 Continue reading the voltage 5 times.",DEF_LED_LOAD_5_OPENCIRCUIT_absent,960.0,-1024.0,40.0,1024.0,40.0,960.0,80.0,"Shut OFF LEDOUT X
Set Function failure flag or not depends on reglementation

a configurer en fonction de la reglementation",0,Functionnal failure flag of the function linked to this LEDOUT X,DTC of this channel function,0.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
35.0,LAMP_ECU_DEF_35,1.0,"F_CurrentRegulation
",YES,,,,Elec with function loss,Safety relevant,DEF_LED_LOAD_6_OPENCIRCUIT,The LED connected to the LEDOUT X is Open load,Buck SPI data VLED of the corresponding LEDOUT X,SPI check,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND 
LEDOUT X is Activated
Buck CHannel has no defect",Never,"Condition_GENERAL_UV_OV   OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
BOOST_Defect_Present
OR
LEDOUT X is Deactivated
OR buck channel has defect",HW,1D,VLED >PAR_VoltLedOutOcThreshold_OUTX,VLED <=PAR_VoltLedOutOcThreshold_OUTX,DEF_LED_LOAD_6_OPENCIRCUIT_absent,960.0,-1024.0,10.0,1024.0,10.0,960.0,20.0,"Shut OFF LEDOUT X
Set Function failure flag or not depends on reglementation

a configurer en fonction de la reglementation",0,Functionnal failure flag of the function linked to this LEDOUT X,DTC of this channel function,1.0,0.0,-,500,5000,255,500,5000,3,remove inhibition ,25,0,50,2,1,30,
36.0,LAMP_ECU_DEF_36,1.0,"F_CurrentRegulation
",YES,,,,Elec with function loss,Safety relevant,DEF_LED_LOAD_7_OPENCIRCUIT,The LED connected to the LEDOUT X is Open load,Buck SPI data VLED of the corresponding LEDOUT X,SPI check,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND 
LEDOUT X is Activated
Buck CHannel has no defect",Never,"Condition_GENERAL_UV_OV   OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
BOOST_Defect_Present
OR
LEDOUT X is Deactivated
OR buck channel has defect",HW,1D,VLED >PAR_VoltLedOutOcThreshold_OUTX,VLED <=PAR_VoltLedOutOcThreshold_OUTX,DEF_LED_LOAD_7_OPENCIRCUIT_absent,960.0,-1024.0,1.0,1024.0,10.0,9600.0,20.0,"Shut OFF LEDOUT X
Set Function failure flag or not depends on reglementation

a configurer en fonction de la reglementation",0,Functionnal failure flag of the function linked to this LEDOUT X,DTC of this channel function,1.0,1.0,-,500,5000,3,500,5000,3,remove inhibition ,25,0,50,2,1,30,
37.0,LAMP_ECU_DEF_37,1.0,"F_CurrentRegulation
",YES,,,,Elec with function loss,Safety relevant,DEF_StuckOpenError_HBridge_SW2,The Defect status of the HBridge control switches,ADC data,HW,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND 
LEDOUT X is Activated
Buck Channel has no defect",Never,"Condition_GENERAL_UV_OV   OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
BOOST_Defect_Present
OR
LEDOUT X is Deactivated
OR buck channel has defect",HW,1D,V_sw_i > PAR_VoltSwDefectValidated,V_sw_i <= PAR_VoltSwDefectValidated,DEF_StuckOpenError_HBridge_SW2_Absent,960.0,-1024.0,10.0,1024.0,10.0,960.0,20.0,"Shut OFF LEDOUT X
Set Function failure flag or not depends on reglementation

a configurer en fonction de la reglementation",0,Functionnal failure flag of the function linked to this LEDOUT X,DTC of this channel function,1.0,1.0,"Condition_GENERAL_UV_OV  
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND
LEDOUT X short Defect is enabled
AND 
LEDOUT reactivation is requested",500,5000,3,500,5000,3,remove inhibition ,25,0,50,2,1,30,
38.0,LAMP_ECU_DEF_38,1.0,F_BIN_NTC_Allocation,YES,,,,Degraded function,Safety relevant,DEF_LED_TEMPSENSOR_Func1,The Temeprature sensor for Func X returns a Temperature out of range values,temperature value,mean on 8 samples,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent

AND
 diagnostic supression time has elapsed",Never,"Condition_GENERAL_UV_OV  _present OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
LEDOUT X is Deactivated""",HW,2D,Temp failure from thermal(BNA_BoolNtcFailOut_Func_X=TRUE),Temp in the range Max temp / Min temp(BNA_BoolNtcFailOut_Func_X=FALSE),DEF_LED_TEMPSENSOR_Func1_absent,960.0,-1024.0,1.0,2.0,10.0,9600.0,9920.0,force LEDOUT derating,1,"Functionnal failure flag of the function linked to this LED temperature 
if possible",DTC for LEDOUT temperature ,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
39.0,LAMP_ECU_DEF_39,1.0,F_BIN_NTC_Allocation,YES,,,,Degraded function,Safety relevant,DEF_LED_TEMPSENSOR_Func2,The Temeprature sensor for LOAD X returns a Temperature out of range values,temperature value,mean on 8 samples,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent

AND
 diagnostic supression time has elapsed",Never,"Condition_GENERAL_UV_OV  _present OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
LEDOUT X is Deactivated""",HW,2D,Temp failure from thermal(BNA_BoolNtcFailOut_Func_X=TRUE),Temp in the range Max temp / Min temp(BNA_BoolNtcFailOut_Func_X=FALSE),DEF_LED_TEMPSENSOR_Func2_absent,960.0,-1024.0,1.0,2.0,10.0,9600.0,9920.0,force LEDOUT derating,1,"Functionnal failure flag of the function linked to this LED temperature 
if possible",DTC for LEDOUT temperature ,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
40.0,LAMP_ECU_DEF_40,1.0,F_BIN_NTC_Allocation,YES,,,,Degraded function,Safety relevant,DEF_LED_TEMPSENSOR_Func3,The Temeprature sensor for LOAD X returns a Temperature out of range values,temperature value,mean on 8 samples,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent

AND
 diagnostic supression time has elapsed",Never,"Condition_GENERAL_UV_OV  _present OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
LEDOUT X is Deactivated""",HW,2D,Temp failure from thermal(BNA_BoolNtcFailOut_Func_X=TRUE),Temp in the range Max temp / Min temp(BNA_BoolNtcFailOut_Func_X=FALSE),DEF_LED_TEMPSENSOR_Func3_absent,960.0,-1024.0,1.0,2.0,10.0,9600.0,9920.0,force LEDOUT derating,1,"Functionnal failure flag of the function linked to this LED temperature 
if possible",DTC for LEDOUT temperature ,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
41.0,LAMP_ECU_DEF_41,1.0,F_BIN_NTC_Allocation,YES,,,,Degraded function,Safety relevant,DEF_LED_TEMPSENSOR_Func4,The Temeprature sensor for LOAD X returns a Temperature out of range values,temperature value,mean on 8 samples,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent

AND
 diagnostic supression time has elapsed",Never,"Condition_GENERAL_UV_OV  _present OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
LEDOUT X is Deactivated""",HW,2D,Temp failure from thermal(BNA_BoolNtcFailOut_Func_X=TRUE),Temp in the range Max temp / Min temp(BNA_BoolNtcFailOut_Func_X=FALSE),DEF_LED_TEMPSENSOR_Func4_absent,960.0,-1024.0,1.0,2.0,10.0,9600.0,9920.0,force LEDOUT derating,1,"Functionnal failure flag of the function linked to this LED temperature 
if possible",DTC for LEDOUT temperature ,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
42.0,LAMP_ECU_DEF_42,1.0,F_BIN_NTC_Allocation,YES,,,,Degraded function,Safety relevant,DEF_LED_TEMPSENSOR_Func5,The Temeprature sensor for LOAD X returns a Temperature out of range values,temperature value,mean on 8 samples,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent

AND
 diagnostic supression time has elapsed",Never,"Condition_GENERAL_UV_OV  _present OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
LEDOUT X is Deactivated""",HW,2D,Temp failure from thermal(BNA_BoolNtcFailOut_Func_X=TRUE),Temp in the range Max temp / Min temp(BNA_BoolNtcFailOut_Func_X=FALSE),DEF_LED_TEMPSENSOR_Func5_absent,960.0,-1024.0,1.0,2.0,10.0,9600.0,9920.0,force LEDOUT derating,1,"Functionnal failure flag of the function linked to this LED temperature 
if possible",DTC for LEDOUT temperature ,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
43.0,LAMP_ECU_DEF_43,1.0,F_BIN_NTC_Allocation,YES,,,,Degraded function,Safety relevant,DEF_LED_TEMPSENSOR_Func6,The Temeprature sensor for LOAD X returns a Temperature out of range values,temperature value,mean on 8 samples,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent

AND
 diagnostic supression time has elapsed",Never,"Condition_GENERAL_UV_OV  _present OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
LEDOUT X is Deactivated""",HW,2D,Temp failure from thermal(BNA_BoolNtcFailOut_Func_X=TRUE),Temp in the range Max temp / Min temp(BNA_BoolNtcFailOut_Func_X=FALSE),DEF_LED_TEMPSENSOR_Func6_absent,960.0,-1024.0,1.0,2.0,10.0,9600.0,9920.0,force LEDOUT derating,1,"Functionnal failure flag of the function linked to this LED temperature 
if possible",DTC for LEDOUT temperature ,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
44.0,LAMP_ECU_DEF_44,1.0,F_BIN_NTC_Allocation,YES,,,,Degraded function,Safety relevant,DEF_LED_TEMPSENSOR_Func7,The Temeprature sensor for LOAD X returns a Temperature out of range values,temperature value,mean on 8 samples,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent

AND
 diagnostic supression time has elapsed",Never,"Condition_GENERAL_UV_OV  _present OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
LEDOUT X is Deactivated""",HW,2D,Temp failure from thermal(BNA_BoolNtcFailOut_Func_X=TRUE),Temp in the range Max temp / Min temp(BNA_BoolNtcFailOut_Func_X=FALSE),DEF_LED_TEMPSENSOR_Func7_absent,960.0,-1024.0,1.0,2.0,10.0,9600.0,9920.0,force LEDOUT derating,1,"Functionnal failure flag of the function linked to this LED temperature 
if possible",DTC for LEDOUT temperature ,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
38.0,LAMP_ECU_DEF_38,1.0,F_BIN_NTC_Allocation,YES,,,,Degraded function,Safety relevant,DEF_LED_TEMPSENSOR_Func8,The Temeprature sensor for Func X returns a Temperature out of range values,temperature value,mean on 8 samples,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent

AND
 diagnostic supression time has elapsed",Never,"Condition_GENERAL_UV_OV  _present OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
LEDOUT X is Deactivated""",HW,2D,Temp failure from thermal(BNA_BoolNtcFailOut_Func_X=TRUE),Temp in the range Max temp / Min temp(BNA_BoolNtcFailOut_Func_X=FALSE),DEF_LED_TEMPSENSOR_Func8_absent,960.0,-1024.0,1.0,2.0,10.0,9600.0,9920.0,force LEDOUT derating,1,"Functionnal failure flag of the function linked to this LED temperature 
if possible",DTC for LEDOUT temperature ,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
